shop_name,shop_id,lat,long
"!Якутск Орджоникидзе, 56 фран",0,62.02522883338076,129.72024199904732
"!Якутск ТЦ ""Центральный"" фран",1,62.037301616892094,129.71780739602482
"Адыгея ТЦ ""Мега""",2,45.01296654205926,38.930381394697974
"Балашиха ТРК ""Октябрь-Киномир""",3,55.79662072030961,37.926708269234666
"Волжский ТЦ ""Волга Молл""",4,48.77213659373243,44.79983092746513
"Вологда ТРЦ ""Мармелад""",5,59.19933176339063,39.85963296975052
"Воронеж (Плехановская, 13)",6,51.6637860957119,39.19722065453178
"Воронеж ТРЦ ""Максимир""",7,51.69703307855997,39.273326600570286
"Воронеж ТРЦ Сити-Парк ""Град""",8,51.78903488096228,39.205010727554324
Выездная Торговля,9,51.6723172161094,39.16413488151351
Жуковский ул. Чкалова 39м?,10,55.59725083672762,38.123644998835836
Жуковский ул. Чкалова 39м²,11,55.59962715658703,38.12065574116319
Интернет-магазин ЧС,12,55.74425126787867,37.85613088382025
"Казань ТЦ ""Бехетле""",13,55.86102167353668,48.90016731558103
"Казань ТЦ ""ПаркХаус"" II",14,55.83006084581892,49.118158070006814
"Калуга ТРЦ ""XXI век""",15,54.51627336977013,36.24648783160098
"Коломна ТЦ ""Рио""",16,55.084435206187386,38.80062722765616
"Красноярск ТЦ ""Взлетка Плаза""",17,56.034563392471625,92.90775169884985
"Красноярск ТЦ ""Июнь""",18,56.037444791193835,92.93459674303213
"Курск ТЦ ""Пушкинский""",19,51.73817162131831,36.19237495424488
"Москва ""Распродажа""",20,51.749131378587414,36.19165527111585
"Москва МТРЦ ""Афи Молл""",21,55.749116642446964,37.53971795116728
Москва Магазин С21,22,55.753186031355504,37.54463070833131
"Москва ТК ""Буденовский"" (пав.А2)",23,55.758272274039825,37.74128655991364
"Москва ТК ""Буденовский"" (пав.К7)",24,55.75829214178443,37.74124324086881
"Москва ТРК ""Атриум""",25,55.75741804530215,37.659152271555435
"Москва ТЦ ""Ареал"" (Беляево)",26,55.643920792406774,37.52642801202969
"Москва ТЦ ""МЕГА Белая Дача II""",27,55.65846529086957,37.845193240865896
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,55.60433461371562,37.49193038319266
"Москва ТЦ ""Новый век"" (Новокосино)",29,55.737907223812826,37.85703268319664
"Москва ТЦ ""Перловский""",30,55.892069619233105,37.727542383201246
"Москва ТЦ ""Семеновский""",31,55.78300780861633,37.720300469705386
"Москва ТЦ ""Серебряный Дом""",32,55.785090401085675,37.71250541388457
"Мытищи ТРК ""XL-3""",33,55.902831039379166,37.748112542321
"Н.Новгород ТРЦ ""РИО""",34,56.317923281992066,43.9254617139005
"Н.Новгород ТРЦ ""Фантастика""",35,56.307479479513596,44.074917042735976
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,55.043900157462055,82.92261732735507
"Новосибирск ТЦ ""Мега""",37,54.96361296533588,82.93525796968106
"Омск ТЦ ""Мега""",38,54.97212153272271,73.28435824084553
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,47.259882369829654,39.71944439830313
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,47.25986924888274,39.719376814183626
"РостовНаДону ТЦ ""Мега""",41,47.25554044000214,39.7149579890257
"СПб ТК ""Невский Центр""",42,59.93186637067163,30.35949391401205
"СПб ТК ""Сенная""",43,59.92526607201701,30.320708956340265
"Самара ТЦ ""Мелодия""",44,53.20921819087658,50.13694424079427
"Самара ТЦ ""ПаркХаус""",45,53.233070761246296,50.20088826963057
"Сергиев Посад ТЦ ""7Я""",46,56.30443327161207,38.13323056972107
"Сургут ТРЦ ""Сити Молл""",47,61.239532936829676,73.37386898521791
"Томск ТРЦ ""Изумрудный Город""",48,56.48875008598305,84.97911338407611
"Тюмень ТРЦ ""Кристалл""",49,57.11763937726754,65.54925082556653
"Тюмень ТЦ ""Гудвин""",50,57.14895428030432,65.5600427758361
"Тюмень ТЦ ""Зеленый Берег""",51,57.170099196344665,65.56748255625473
"Уфа ТК ""Центральный""",52,54.7365130520063,55.956097856181835
"Уфа ТЦ ""Семья"" 2",53,54.74994787441474,56.00022231357387
"Химки ТЦ ""Мега""",54,55.911296391178325,37.396498027380815
Цифровой склад 1С-Онлайн,55,55.78148544779807,37.61111228504873
"Чехов ТРЦ ""Карнавал""",56,55.15357800870132,37.45925219852253
"Якутск Орджоникидзе, 56",57,62.02519863718233,129.72022054106412
"Якутск ТЦ ""Центральный""",58,62.03154310580935,129.74109877897183
"Ярославль ТЦ ""Альтаир""",59,57.69792594741873,39.758911854420106
